epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7615,4.79782,4.53646,3.32883,0.00094,0.01096,0.00142,0.00042,4.58159,3.95259,2.7518,0.0702941,0.00330065,0.00330065
2,103.188,3.20588,2.97118,1.77069,0.21564,0.01685,0.01024,0.003,3.69925,4.34581,1.79094,0.0402284,0.00656831,0.00656831
3,125.144,2.58535,2.37412,1.43067,0.04938,0.06015,0.03125,0.01035,2.89115,2.36783,1.42257,0.0100968,0.00976997,0.00976997
4,147.627,2.28281,2.04984,1.29911,0.20885,0.13318,0.0844,0.03594,2.17599,1.85309,1.21447,0.009703,0.009703,0.009703
5,170.037,2.10124,1.86315,1.22792,0.24489,0.12497,0.09347,0.04443,2.03629,1.71699,1.16903,0.009604,0.009604,0.009604
6,192.433,1.9932,1.74399,1.1875,0.16156,0.1536,0.10908,0.0536,1.86825,1.7399,1.11619,0.009505,0.009505,0.009505
7,213.986,1.92074,1.65848,1.16201,0.17162,0.15933,0.12397,0.06061,1.86971,1.55443,1.1086,0.009406,0.009406,0.009406
8,235.677,1.87255,1.60007,1.14326,0.27661,0.15371,0.11612,0.05613,1.95091,1.5859,1.12185,0.009307,0.009307,0.009307
9,257.412,1.82932,1.55513,1.12977,0.20237,0.18008,0.14341,0.0738,1.75133,1.45972,1.08236,0.009208,0.009208,0.009208
10,278.374,1.79892,1.51618,1.12114,0.22054,0.17969,0.14857,0.0766,1.75308,1.42551,1.07053,0.009109,0.009109,0.009109
11,300.178,1.78212,1.4817,1.10988,0.22183,0.18746,0.14652,0.08022,1.70622,1.50439,1.05945,0.00901,0.00901,0.00901
12,321.819,1.75962,1.45722,1.10339,0.21334,0.17856,0.14946,0.075,1.72108,1.44303,1.05813,0.008911,0.008911,0.008911
13,343.501,1.73039,1.43609,1.09634,0.26355,0.1983,0.16693,0.08847,1.65017,1.3279,1.04681,0.008812,0.008812,0.008812
14,364.974,1.72217,1.41443,1.09118,0.24308,0.19485,0.16189,0.08505,1.70103,1.3549,1.06104,0.008713,0.008713,0.008713
15,386.277,1.70846,1.40472,1.0849,0.2311,0.23499,0.17092,0.08948,1.63901,1.34439,1.03649,0.008614,0.008614,0.008614
16,408.687,1.68184,1.37609,1.07841,0.2604,0.21591,0.18047,0.09547,1.61444,1.28261,1.03078,0.008515,0.008515,0.008515
17,430.763,1.67715,1.35957,1.07247,0.27158,0.22071,0.19387,0.10342,1.57377,1.25018,1.0229,0.008416,0.008416,0.008416
18,452.646,1.65382,1.34108,1.06889,0.29394,0.22036,0.19431,0.10685,1.56112,1.23793,1.01687,0.008317,0.008317,0.008317
19,473.975,1.65248,1.33894,1.07114,0.28984,0.22243,0.19876,0.10657,1.56409,1.2394,1.01723,0.008218,0.008218,0.008218
20,495.792,1.63889,1.31974,1.06331,0.37024,0.22494,0.19758,0.10492,1.56534,1.24181,1.01625,0.008119,0.008119,0.008119
21,518.033,1.62018,1.30033,1.06081,0.30386,0.2249,0.20387,0.10837,1.55887,1.21132,1.01518,0.00802,0.00802,0.00802
22,539.612,1.61983,1.29457,1.05573,0.28306,0.22693,0.19986,0.10788,1.54528,1.20914,1.01481,0.007921,0.007921,0.007921
23,561.244,1.61625,1.28463,1.05132,0.31208,0.23442,0.21728,0.11802,1.5084,1.18242,1.00376,0.007822,0.007822,0.007822
24,582.186,1.60474,1.27337,1.05199,0.30143,0.24599,0.21804,0.1186,1.50315,1.18532,1.00213,0.007723,0.007723,0.007723
25,603.552,1.5926,1.26088,1.04784,0.29257,0.23277,0.20925,0.11471,1.53668,1.1802,1.00294,0.007624,0.007624,0.007624
26,624.65,1.58691,1.25775,1.0454,0.31703,0.24054,0.21746,0.11836,1.50466,1.18339,0.99713,0.007525,0.007525,0.007525
27,646.466,1.5876,1.26579,1.0481,0.41677,0.23703,0.22374,0.12306,1.50179,1.1828,0.99736,0.007426,0.007426,0.007426
28,668.512,1.58836,1.25405,1.04051,0.30825,0.24489,0.22084,0.12153,1.51115,1.18568,0.99333,0.007327,0.007327,0.007327
29,691.053,1.60108,1.26787,1.04155,0.32935,0.24457,0.22749,0.12356,1.52588,1.20287,0.99168,0.007228,0.007228,0.007228
30,713.159,1.60612,1.26878,1.03842,0.31152,0.24798,0.22782,0.12597,1.52402,1.1839,0.98732,0.007129,0.007129,0.007129
31,734.641,1.5981,1.25909,1.02874,0.3188,0.24752,0.22974,0.12624,1.51686,1.19205,0.98411,0.00703,0.00703,0.00703
32,756.386,1.60385,1.26046,1.02565,0.35352,0.24654,0.2291,0.12645,1.51011,1.18529,0.97945,0.006931,0.006931,0.006931
33,777.547,1.59856,1.25751,1.02562,0.33399,0.24535,0.23195,0.12887,1.511,1.17315,0.97727,0.006832,0.006832,0.006832
34,799.117,1.59343,1.25821,1.02184,0.33099,0.26507,0.24219,0.13506,1.49529,1.16431,0.97606,0.006733,0.006733,0.006733
35,820.566,1.579,1.23822,1.01453,0.35232,0.25111,0.2436,0.13507,1.49112,1.16347,0.97392,0.006634,0.006634,0.006634
36,841.617,1.58511,1.24453,1.01906,0.33728,0.25941,0.2381,0.13255,1.48964,1.15555,0.97233,0.006535,0.006535,0.006535
36,31.666,1.5772,1.23428,1.01663,0.33319,0.26165,0.24145,0.13501,1.47644,1.14968,0.97031,0.006535,0.006535,0.006535
37,58.0142,1.56292,1.22429,1.012,0.34231,0.25906,0.24119,0.13385,1.48145,1.14942,0.97032,0.006436,0.006436,0.006436
38,83.0653,1.57872,1.23576,1.01574,0.32641,0.25716,0.24498,0.1359,1.48189,1.14348,0.97024,0.006337,0.006337,0.006337
39,108.417,1.5657,1.21967,1.0112,0.35186,0.26362,0.24696,0.13627,1.4801,1.15152,0.96843,0.006238,0.006238,0.006238
40,133.505,1.56118,1.21924,1.00893,0.3572,0.25653,0.24665,0.13735,1.47342,1.14308,0.96652,0.006139,0.006139,0.006139
41,158.64,1.55461,1.20878,1.00728,0.33544,0.26925,0.24812,0.13713,1.47341,1.14199,0.96573,0.00604,0.00604,0.00604
42,183.884,1.54698,1.20268,1.00537,0.34789,0.26612,0.2481,0.13927,1.46545,1.13717,0.96504,0.005941,0.005941,0.005941
43,209.306,1.5487,1.20308,1.00474,0.36003,0.27214,0.2532,0.14129,1.46229,1.13196,0.96394,0.005842,0.005842,0.005842
44,234.558,1.54401,1.19929,1.00383,0.35886,0.27176,0.25465,0.14309,1.45856,1.11539,0.96228,0.005743,0.005743,0.005743
45,259.313,1.53611,1.19436,1.00365,0.35956,0.26623,0.25497,0.1433,1.45116,1.11775,0.9601,0.005644,0.005644,0.005644
46,284.852,1.54099,1.18653,1.0004,0.36247,0.27279,0.25845,0.14359,1.45169,1.12051,0.9614,0.005545,0.005545,0.005545
47,310.242,1.53934,1.18845,1.00073,0.36428,0.2732,0.26031,0.14639,1.44052,1.10948,0.95775,0.005446,0.005446,0.005446
48,335.238,1.52708,1.18152,0.99934,0.36409,0.27195,0.25864,0.1456,1.45151,1.11334,0.95987,0.005347,0.005347,0.005347
49,360.701,1.5337,1.1842,1.00006,0.36949,0.27425,0.26213,0.14737,1.44613,1.10852,0.95722,0.005248,0.005248,0.005248
50,386.142,1.53051,1.18426,0.9971,0.37066,0.27509,0.26269,0.14858,1.4399,1.10402,0.95578,0.005149,0.005149,0.005149
51,411.252,1.51883,1.17184,0.99491,0.36626,0.28157,0.26779,0.1511,1.43221,1.09792,0.95503,0.00505,0.00505,0.00505
52,436.291,1.5216,1.17154,0.99329,0.36626,0.28114,0.26532,0.14946,1.43324,1.10012,0.9542,0.004951,0.004951,0.004951
53,461.736,1.51059,1.1627,0.99314,0.36901,0.28351,0.26937,0.15178,1.42914,1.09359,0.95341,0.004852,0.004852,0.004852
54,486.668,1.51272,1.16527,0.99593,0.38031,0.27971,0.26901,0.15107,1.43217,1.092,0.95502,0.004753,0.004753,0.004753
55,511.728,1.50662,1.15779,0.99166,0.38289,0.27887,0.26923,0.1515,1.42411,1.08507,0.95427,0.004654,0.004654,0.004654
56,537.216,1.49676,1.14682,0.99162,0.3698,0.28457,0.2665,0.14995,1.43328,1.08889,0.95328,0.004555,0.004555,0.004555
57,562.33,1.501,1.14739,0.98873,0.3816,0.27908,0.26943,0.15169,1.4308,1.0905,0.953,0.004456,0.004456,0.004456
58,587.427,1.50712,1.14635,0.98764,0.36369,0.28912,0.27187,0.15329,1.4204,1.08227,0.95187,0.004357,0.004357,0.004357
59,612.447,1.49749,1.13961,0.98881,0.36634,0.29231,0.27124,0.15226,1.42103,1.0837,0.95171,0.004258,0.004258,0.004258
60,637.511,1.4903,1.13426,0.98646,0.36396,0.29035,0.27516,0.15513,1.41635,1.07367,0.94906,0.004159,0.004159,0.004159
61,662.888,1.48987,1.13626,0.98652,0.37283,0.28684,0.27356,0.15463,1.4142,1.07608,0.94777,0.00406,0.00406,0.00406
62,687.06,1.49322,1.14296,0.99016,0.38317,0.28921,0.27737,0.15649,1.41402,1.07126,0.94912,0.003961,0.003961,0.003961
63,710.431,1.48256,1.12786,0.98412,0.37658,0.28635,0.27386,0.15494,1.41516,1.07669,0.94903,0.003862,0.003862,0.003862
64,733.006,1.48195,1.13252,0.98716,0.39668,0.28315,0.27599,0.15586,1.41079,1.07036,0.9477,0.003763,0.003763,0.003763
65,755.669,1.48293,1.1298,0.98674,0.37816,0.2875,0.27568,0.15606,1.41407,1.07259,0.9483,0.003664,0.003664,0.003664
66,778.334,1.47459,1.12169,0.98077,0.38523,0.28817,0.27746,0.15723,1.40553,1.07057,0.94647,0.003565,0.003565,0.003565
67,803.882,1.48508,1.12163,0.98137,0.38371,0.28834,0.27648,0.15569,1.41077,1.07088,0.94593,0.003466,0.003466,0.003466
68,828.955,1.4823,1.12078,0.98304,0.38108,0.28749,0.27866,0.15659,1.40901,1.06609,0.94556,0.003367,0.003367,0.003367
69,852.785,1.48047,1.1222,0.9817,0.37947,0.29444,0.28111,0.15795,1.40629,1.06448,0.946,0.003268,0.003268,0.003268
70,875.554,1.46931,1.10973,0.97695,0.38211,0.29292,0.27936,0.1579,1.40334,1.06157,0.94608,0.003169,0.003169,0.003169
71,898.073,1.47951,1.11908,0.98253,0.388,0.29035,0.27917,0.15848,1.40447,1.0607,0.94556,0.00307,0.00307,0.00307
72,29.0028,1.4661,1.10114,0.97827,0.38572,0.29145,0.28091,0.15908,1.40166,1.05997,0.9451,0.002971,0.002971,0.002971
73,53.6838,1.45622,1.09799,0.97584,0.38103,0.29392,0.28143,0.1602,1.39831,1.05832,0.94352,0.002872,0.002872,0.002872
74,76.2582,1.4731,1.10994,0.97984,0.39438,0.29385,0.2811,0.15995,1.39792,1.05911,0.94316,0.002773,0.002773,0.002773
75,98.1107,1.46214,1.09751,0.97713,0.38662,0.29593,0.28237,0.16,1.40153,1.05681,0.94395,0.002674,0.002674,0.002674
76,121.348,1.46193,1.10087,0.9766,0.39171,0.29242,0.28329,0.16059,1.39824,1.05584,0.94309,0.002575,0.002575,0.002575
77,146.217,1.4559,1.09226,0.9751,0.38726,0.29136,0.28173,0.15972,1.39741,1.05707,0.94332,0.002476,0.002476,0.002476
78,170.834,1.45051,1.08637,0.97405,0.38951,0.29272,0.28268,0.16111,1.39615,1.05528,0.94278,0.002377,0.002377,0.002377
79,195.696,1.45409,1.09191,0.97469,0.39888,0.29089,0.28334,0.1609,1.39639,1.05536,0.94263,0.002278,0.002278,0.002278
80,220.617,1.45013,1.08846,0.97358,0.39119,0.29253,0.28303,0.16089,1.39489,1.05395,0.94209,0.002179,0.002179,0.002179
